report_date,weighted_average
2020-02-18,
2020-02-17,
2020-02-14,285.00
2020-02-13,
2020-02-12,291.73
2020-02-11,
2020-02-10,294.97
2020-02-07,299.51
2020-02-06,
2020-02-05,296.15
2020-02-04,
2020-02-03,297.93
2020-01-31,294.00
2020-01-30,
2020-01-29,300.47
2020-01-28,
2020-01-27,
2020-01-24,
2020-01-23,285.32
2020-01-22,290.30
2020-01-21,288.83
2020-01-20,293.12
2020-01-17,
2020-01-16,280.63
2020-01-15,285.65
2020-01-14,
2020-01-13,
2020-01-10,
2020-01-09,265.79
2020-01-08,281.16
2020-01-07,
2020-01-06,
2020-01-03,274.04
2020-01-02,287.70
2019-12-31,277.04
2019-12-30,
2019-12-27,
2019-12-26,276.67
2019-12-23,
2019-12-20,
2019-12-19,260.28
2019-12-18,286.65
2019-12-17,
2019-12-16,
2019-12-13,
2019-12-12,274.82
2019-12-11,
2019-12-10,290.53
2019-12-09,275.00
2019-12-06,
2019-12-05,284.54
2019-12-04,
2019-12-03,
2019-12-02,
2019-11-29,
2019-11-27,322.40
2019-11-26,
2019-11-25,
2019-11-22,
2019-11-21,
2019-11-20,
2019-11-19,
2019-11-18,290.26
2019-11-15,
2019-11-14,345.58
2019-11-13,341.01
2019-11-12,
2019-11-11,
2019-11-08,
2019-11-07,
2019-11-06,341.38
2019-11-05,
2019-11-04,
2019-11-01,
2019-10-31,347.14
2019-10-30,
2019-10-29,328.24
2019-10-28,
2019-10-25,
2019-10-24,310.87
2019-10-23,311.60
2019-10-22,
2019-10-21,
2019-10-18,
2019-10-17,
2019-10-16,293.45
2019-10-15,
2019-10-14,
2019-10-11,
2019-10-10,284.06
2019-10-09,293.17
2019-10-08,285.52
2019-10-07,
2019-10-04,
2019-10-03,
2019-10-02,277.00
2019-10-01,
2019-09-30,
2019-09-27,
2019-09-26,
2019-09-25,292.22
2019-09-24,
2019-09-23,290.90
2019-09-20,
2019-09-19,
2019-09-18,299.74
2019-09-17,279.56
2019-09-16,
2019-09-13,
2019-09-12,286.02
2019-09-11,
2019-09-10,
2019-09-09,
2019-09-06,290.00
2019-09-05,
2019-09-04,305.66
2019-09-03,294.00
2019-08-30,
2019-08-29,289.82
2019-08-28,306.92
2019-08-27,303.44
2019-08-26,
2019-08-23,
2019-08-22,314.34
2019-08-21,320.25
2019-08-20,301.78
2019-08-19,306.25
2019-08-16,296.55
2019-08-15,
2019-08-14,303.83
2019-08-13,292.45
2019-08-12,
2019-08-09,
2019-08-08,
2019-08-07,293.94
2019-08-06,302.20
2019-08-05,285.87
2019-08-02,300.93
2019-08-01,289.83
2019-07-31,302.72
2019-07-30,292.94
2019-07-29,
2019-07-26,300.48
2019-07-25,
2019-07-24,303.88
2019-07-23,
2019-07-22,
2019-07-19,
2019-07-18,
2019-07-17,308.14
2019-07-16,
2019-07-15,304.74
2019-07-12,
2019-07-11,
2019-07-10,311.99
2019-07-09,301.82
2019-07-08,311.58
2019-07-05,
2019-07-03,
2019-07-02,311.38
2019-07-01,
2019-06-28,309.61
2019-06-27,
2019-06-26,311.69
2019-06-25,
2019-06-24,306.08
2019-06-21,305.10
2019-06-20,
2019-06-19,309.95
2019-06-18,
2019-06-17,
2019-06-14,305.00
2019-06-13,
2019-06-12,317.80
2019-06-11,305.66
2019-06-10,307.16
2019-06-07,
2019-06-06,
2019-06-05,323.53
2019-06-04,317.73
2019-06-03,
2019-05-31,299.45
2019-05-30,312.42
2019-05-29,317.09
