report_date,total_pounds
2019-11-22,84372
2019-11-21,24908
2019-11-20,30374
2019-11-19,161983
2019-11-18,29011
2019-11-15,48808
2019-11-14,150905
2019-11-13,35703
2019-11-12,8913
2019-11-11,8471
2019-11-08,24573
2019-11-07,75700
2019-11-06,23094
2019-11-05,38340
2019-11-04,101681
2019-11-01,39375
2019-10-31,136620
2019-10-30,9959
2019-10-29,22765
2019-10-28,6397
2019-10-25,20897
2019-10-24,149208
2019-10-23,64172
2019-10-22,77284
2019-10-21,113261
2019-10-18,95049
2019-10-17,83558
2019-10-16,75738
2019-10-15,21401
2019-10-14,87267
2019-10-11,28328
2019-10-10,76364
2019-10-09,25737
2019-10-08,25948
2019-10-07,20669
2019-10-04,55162
2019-10-03,53054
2019-10-02,139173
2019-10-01,168869
2019-09-30,21615
2019-09-27,31187
2019-09-26,124104
2019-09-25,61370
2019-09-24,19804
2019-09-23,47556
2019-09-20,80340
2019-09-19,42657
2019-09-18,53277
2019-09-17,120113
2019-09-16,57300
2019-09-13,64271
2019-09-12,97835
2019-09-11,113793
2019-09-10,24293
2019-09-09,14011
2019-09-06,36758
2019-09-05,49942
2019-09-04,81622
2019-09-03,22240
2019-08-30,19574
2019-08-29,33939
2019-08-28,52328
2019-08-27,98442
2019-08-26,8589
2019-08-23,57061
2019-08-22,14374
2019-08-21,124566
2019-08-20,40831
2019-08-19,30366
2019-08-16,42778
2019-08-15,13512
2019-08-14,43030
2019-08-13,124139
2019-08-12,61198
2019-08-09,112746
2019-08-08,74605
2019-08-07,159108
2019-08-06,15388
2019-08-05,72990
2019-08-02,18010
2019-08-01,126651
2019-07-31,126419
2019-07-30,26967
2019-07-29,91082
2019-07-26,28059
2019-07-25,156201
2019-07-24,226390
2019-07-23,220500
2019-07-22,126576
2019-07-19,29137
2019-07-18,221395
2019-07-17,139437
2019-07-16,55478
2019-07-15,7464
2019-07-12,54657
2019-07-11,144734
2019-07-10,200008
2019-07-09,70900
2019-07-08,12038
2019-07-05,59905
2019-07-03,77403
2019-07-02,266448
2019-07-01,49199
2019-06-28,41717
2019-06-27,18326
2019-06-26,54222
2019-06-25,150090
2019-06-24,63943
2019-06-21,13499
2019-06-20,73161
2019-06-19,68371
2019-06-18,187258
2019-06-17,40823
2019-06-14,172967
2019-06-13,94195
2019-06-12,115521
2019-06-11,122597
2019-06-10,12742
2019-06-07,77709
2019-06-06,31362
2019-06-05,182098
2019-06-04,44344
2019-06-03,20767
2019-05-31,62189
2019-05-30,67945
2019-05-29,154764
2019-05-28,41017
2019-05-24,44452
2019-05-23,78975
2019-05-22,140235
2019-05-21,270328
2019-05-20,58686
2019-05-17,81356
2019-05-16,83183
2019-05-15,78988
2019-05-14,165377
2019-05-13,47129
2019-05-10,64418
2019-05-09,152516
2019-05-08,123914
2019-05-07,64128
2019-05-06,33926
2019-05-03,74850
2019-05-02,48719
2019-05-01,107325
2019-04-30,121676
2019-04-29,23290
2019-04-26,21542
2019-04-25,68299
2019-04-24,192750
2019-04-23,20591
2019-04-22,81607
2019-04-19,80812
2019-04-18,81435
2019-04-17,123723
2019-04-16,30626
2019-04-15,18302
2019-04-12,69675
2019-04-11,129343
2019-04-10,160396
2019-04-09,32332
2019-04-08,65358
2019-04-05,196230
2019-04-04,94801
2019-04-03,134424
2019-04-02,45973
2019-04-01,27581
2019-03-29,93366
2019-03-28,65481
2019-03-27,155028
2019-03-26,27428
2019-03-25,45987
2019-03-22,95327
2019-03-21,152299
2019-03-20,242720
2019-03-19,50186
2019-03-18,37149
2019-03-15,32198
2019-03-14,128491
2019-03-13,220155
2019-03-12,120484
2019-03-11,23793
2019-03-08,44811
2019-03-07,38469
2019-03-06,183674
2019-03-05,59369
2019-03-04,27611
2019-03-01,64322
2019-02-28,51845
2019-02-27,119507
2019-02-26,200448
2019-02-25,10993
2019-02-22,35178
2019-02-21,37860
2019-02-20,78434
2019-02-19,231462
2019-02-18,52671
2019-02-15,48362
2019-02-14,264741
2019-02-13,468571
2019-02-12,16495
2019-02-11,28559
2019-02-08,22228
2019-02-07,122458
2019-02-06,204029
2019-02-05,362312
2019-02-04,11392
2019-02-01,56091
2019-01-31,121546
2019-01-30,40205
2019-01-29,209036
2019-01-28,140595
2019-01-25,16766
2019-01-24,84245
2019-01-23,92658
2019-01-22,21324
2019-01-21,26078
2019-01-18,18253
2019-01-17,74376
2019-01-16,122055
2019-01-15,131157
2019-01-14,34149
2019-01-11,82296
2019-01-10,151648
2019-01-09,263617
2019-01-08,28419
2019-01-07,43302
